                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6009,                 1.9799,                 1.3514,                0.88513,                0.81884,                0.87643,                0.52863,                 1.4111,                0.87425,                 1.2879,             0.00022173,             0.00022173,             0.00022173
                      2,                 1.2846,                 0.8288,                 1.1713,                0.91395,                0.87399,                0.92172,                0.59847,                 1.2527,                0.70534,                 1.2189,             0.00042208,             0.00042208,             0.00042208
                      3,                 1.1897,                0.72902,                  1.131,                0.92278,                0.87335,                0.91954,                0.59493,                 1.2371,                0.71966,                 1.2189,             0.00060042,             0.00060042,             0.00060042
                      4,                 1.1289,                0.67613,                 1.1045,                0.94244,                0.90735,                0.94648,                0.64817,                  1.112,                0.58261,                 1.1542,             0.00056795,             0.00056795,             0.00056795
                      5,                 1.0563,                0.60966,                 1.0656,                0.95591,                0.91038,                0.95527,                0.67577,                 1.0495,                0.54385,                 1.1182,             0.00056795,             0.00056795,             0.00056795
                      6,                 1.0067,                0.57364,                  1.045,                0.96077,                0.92395,                0.96029,                0.69256,                 0.9873,                0.48724,                 1.0826,             0.00053493,             0.00053493,             0.00053493
                      7,                0.95357,                0.53437,                 1.0256,                 0.9517,                0.93252,                0.96286,                0.71336,                0.94167,                0.46641,                 1.0667,             0.00050192,             0.00050192,             0.00050192
                      8,                0.91588,                0.50898,                 1.0104,                0.95977,                 0.9303,                0.96547,                0.71705,                0.93633,                0.44665,                 1.0661,              0.0004689,              0.0004689,              0.0004689
                      9,                0.87857,                0.48271,                0.99683,                0.96184,                0.92888,                0.96498,                 0.7263,                0.89902,                0.43219,                 1.0493,             0.00043588,             0.00043588,             0.00043588
                     10,                0.85591,                0.46815,                0.98624,                0.96258,                0.94648,                0.97282,                0.76084,                0.84581,                0.40596,                 1.0342,             0.00040287,             0.00040287,             0.00040287
                     11,                0.84522,                 0.4395,                0.98478,                0.95713,                0.94219,                0.97303,                0.75713,                0.84466,                 0.4122,                 1.0395,             0.00036985,             0.00036985,             0.00036985
                     12,                0.81942,                0.42308,                0.97353,                0.96327,                0.94192,                0.97184,                0.76624,                0.82374,                0.39983,                 1.0215,             0.00033683,             0.00033683,             0.00033683
                     13,                0.79012,                0.40428,                0.95981,                0.96315,                0.94636,                0.97584,                0.77186,                 0.8037,                0.38516,                 1.0215,             0.00030382,             0.00030382,             0.00030382
                     14,                0.76408,                0.39264,                0.95035,                0.97331,                0.95184,                0.97965,                0.78613,                0.77357,                0.36968,                0.99893,              0.0002708,              0.0002708,              0.0002708
                     15,                0.73944,                0.37748,                0.93749,                0.97549,                 0.9482,                0.97945,                 0.7896,                0.75599,                0.35938,                 0.9871,             0.00023779,             0.00023779,             0.00023779
                     16,                0.71251,                0.36296,                0.92591,                0.96788,                0.95772,                0.97983,                0.79971,                0.74427,                0.35644,                0.98801,             0.00020477,             0.00020477,             0.00020477
                     17,                0.68805,                0.35117,                0.91862,                0.97107,                0.95717,                0.98112,                 0.8108,                 0.7169,                0.33898,                0.98067,             0.00017175,             0.00017175,             0.00017175
                     18,                0.66245,                0.33793,                0.91179,                0.97317,                 0.9578,                0.98161,                0.81099,                0.70869,                0.33212,                0.97556,             0.00013874,             0.00013874,             0.00013874
                     19,                0.64251,                0.32739,                0.90398,                0.97429,                0.96157,                0.98285,                0.81927,                 0.6837,                 0.3216,                 0.9642,             0.00010572,             0.00010572,             0.00010572
                     20,                0.62133,                0.31772,                0.89316,                0.97685,                0.96185,                0.98326,                0.82539,                0.66861,                 0.3148,                0.96103,             7.2703e-05,             7.2703e-05,             7.2703e-05
